brand_name,generic_name
Dermovate 0.05% cream,Clobetasol 0.05% cream
Dermovate 0.05% ointment,Clobetasol 0.05% ointment
DesmoMelt 120microgram oral lyophilisates,Desmopressin 120microgram oral lyophilisates sugar free
DesmoMelt 240microgram oral lyophilisates,Desmopressin 240microgram oral lyophilisates sugar free
Desorex 75microgram tablets,desogestrel 75microgram tablets
Desunin 800unit tablets,Colecalciferol 800unit tablets
Detrusitol 1mg tablets,Tolterodine 1mg tablets
Detrusitol XL 4mg capsules,tolterodine 4mg modified-release capsules
Dexamethasone (base) 6.6mg/2ml solution for injection ampoules,dexamethasone (base) 6.6mg/2ml solution for injection vials
Diclo-SR 75mg tablets,diclofenac sodium 75mg modified-release tablets
Diclofenac 1% gel,Diclofenac sodium 1% gel
Diclomax Retard 100mg capsules,diclofenac sodium 100mg modified-release capsules
Diclomax SR 75mg capsules,Diclofenac sodium 75mg modified-release capsules
Differin 0.1% cream,adapalene 0.1% cream
Differin 0.1% gel,adapalene 0.1% gel
Dimaz 20mg/ml eye drops,Dorzolamide 20mg/ml eye drops preservative free
Diprosalic 0.05%/2% scalp application,betamethasone dipropionate 0.05% / salicylic acid 2% scalp application
Diprosalic 0.05%/3% ointment,betamethasone dipropionate 0.05% / salicylic acid 3% ointment
Dovonex 50micrograms/g ointment,Calcipotriol 50micrograms/g ointment
Duaklir 340micrograms/dose / 12micrograms/dose Genuair,Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler
Dulcolax Twelve Plus 10mg suppositories,Bisacodyl 10mg suppositories
DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler,budesonide 400micrograms/dose / formoterol 12micrograms/dose dry powder inhaler
DuoTrav 40micrograms/ml / 5mg/ml eye drops,Travoprost 40micrograms/ml / Timolol 5mg/ml eye drops
Dutrozen 0.5mg/0.4mg capsules,Tamsulosin 400microgram / Dutasteride 500microgram capsules
Dymista 137micrograms/dose / 50micrograms/dose nasal spray,Fluticasone propionate 50micrograms/dose / Azelastine 137micrograms/dose nasal spray
