brand_name,generic_name
Viazem XL 120mg capsules,Diltiazem 120mg modified-release capsules
Viazem XL 180mg capsules,Diltiazem 180mg modified-release capsules
Vibramycin-D 100mg dispersible tablets,doxycycline 100mg dispersible tablets sugar free
ViePax XL 75mg tablets,Venlafaxine 75mg modified-release tablets
Vipidia 12.5mg tablets,alogliptin 12.5mg tablets
Vipidia 25mg tablets,alogliptin 25mg tablets
Virasorb Cold Sore 5% cream,Aciclovir 5% cream
Virgan 0.15% eye gel,Ganciclovir 0.15% eye gel
Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device,alprostadil 10microgram powder and solvent for solution for injection cartridges with device
Viscotears 2mg/g eye gel 0.6ml unit dose,Carbomer '980' 0.2% eye drops 0.6ml unit dose preservative free
Viscotears 2mg/g liquid gel,Carbomer '980' 0.2% eye drops
Voltarol 1.16% Emulgel,Diclofenac diethylammonium 1.16% gel
Voltarol 100mg suppositories,diclofenac 100mg suppositories
Voltarol 12 Hour Emulgel P 2.32% gel,Diclofenac diethylammonium 2.32% gel
Voltarol 50mg suppositories,Diclofenac 50mg suppositories
WockAIR 160micrograms/dose / 4.5micrograms/dose dry powder inhaler,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
WockAIR 320micrograms/dose / 9micrograms/dose dry powder inhaler,Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler
Xadago 50mg tablets,safinamide 50mg tablets
Xaqua 5mg tablets,metolazone 5mg tablets
Xonvea 10mg/10mg gastro-resistant tablets,Doxylamine 10mg / Pyridoxine 10mg gastro-resistant tablets
Yacella 0.03mg/3mg tablets,Ethinylestradiol 30microgram / Drospirenone 3mg tablets
Yasmin tablets,Ethinylestradiol 30microgram / Drospirenone 3mg tablets
Zaditen 1mg tablets,Ketotifen 1mg tablets
Zamadol SR 100mg capsules,Tramadol 100mg modified-release capsules
Zamadol SR 150mg capsules,tramadol 150mg modified-release capsules
Zamadol SR 200mg capsules,Tramadol 200mg modified-release capsules
Zapain 30mg/500mg capsules,Co-codamol 30mg/500mg capsules
Zemtard 120 XL capsules,Diltiazem 120mg modified-release capsules
Zemtard 300 XL capsules,Diltiazem 300mg modified-release capsules
Ziclaseg 30mg modified-release tablets,Gliclazide 30mg modified-release tablets
Zicron 40mg tablets,Gliclazide 40mg tablets
Zidoval 0.75% vaginal gel,Metronidazole 0.75% vaginal gel
Zimed 0.3mg/ml eye drops preservative free,Bimatoprost 300micrograms/ml eye drops preservative free
Zindaclin 1% gel,Clindamycin 1% gel
Zineryt lotion,erythromycin 40mg/ml / zinc acetate 12mg/ml lotion
Zithromax 200mg/5ml oral suspension,Azithromycin 200mg/5ml oral suspension
Zochek 10mg modified-release tablets,Alfuzosin 10mg modified-release tablets
Zoely 2.5mg/1.5mg tablets,Estradiol 1.5mg / Nomegestrol 2.5mg tablets
Zoladex 3.6mg implant SafeSystem pre-filled syringes,Goserelin 3.6mg implant pre-filled syringes
Zoladex LA 10.8mg implant SafeSystem pre-filled syringes,Goserelin 10.8mg implant pre-filled syringes
Zomig Rapimelt 5mg orodispersible tablets,Zolmitriptan 5mg orodispersible tablets sugar free
Zyban 150mg modified-release tablets,Bupropion 150mg modified-release tablets
Zydol 50mg soluble tablets,tramadol 50mg soluble tablets sugar free
Zydol SR 100mg tablets,tramadol 100mg modified-release capsules
Zydol SR 200mg tablets,tramadol 200mg modified-release capsules
Zydol SR 50mg tablets,Tramadol 50mg modified-release tablets
Zyduco XL 1200mg tablets,Mesalazine 1.2g gastro-resistant modified-release tablets
